Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.765,0.6274509803921569,0.5333333333333333,0.5765765765765766,0.7904761904761904
Random Forest,0.77,0.7058823529411765,0.4,0.5106382978723404,0.7983333333333333
